Batch #	Dataset	Classification	Algorithm	Homogeneity	Completeness	V-Measure	ARI	AMI
2	scope	SF	Complet+	0.9994305707	0.8171291283	0.899132389	0.7466649739	0.8557412606
2	scope	FA	MMseqs	0.9489368001	0.8517524952	0.8977220994	0.3877099224	0.8233781448
2	scope	FA	Complet+	0.9373245676	0.903481427	0.9200918949	0.5689432715	0.8696390434
3	scope	SF	MMseqs	0.999948556	0.7561478738	0.8611246645	0.2545095965	0.8035716668
3	scope	SF	Complet+	0.9994395108	0.8156121426	0.8982168626	0.7407059182	0.8618926538
3	scope	FA	MMseqs	0.9482634133	0.8459645148	0.8941976499	0.3752839187	0.8290123376
3	scope	FA	Complet+	0.9368079984	0.9019279229	0.9190371302	0.5672655863	0.8761689594
4	scope	SF	MMseqs	0.9999557066	0.7537882559	0.859595111	0.2582328907	0.8087061809
4	scope	SF	Complet+	0.9994571971	0.8142577532	0.897402066	0.7389312683	0.8655017775
4	scope	FA	MMseqs	0.9479278139	0.8434581942	0.892646787	0.374977296	0.8343564799
4	scope	FA	Complet+	0.9365472444	0.9006314013	0.9182382553	0.5659342367	0.8801931044
5	scope	SF	MMseqs	0.9999580001	0.7532611897	0.8592531466	0.2616638214	0.8131308306
5	scope	SF	Complet+	0.9997705693	0.813982478	0.8973611117	0.737914144	0.868545514
5	scope	FA	MMseqs	0.9480000802	0.8429063037	0.892369641	0.3772767476	0.8392257354
5	scope	FA	Complet+	0.9368362007	0.9002963045	0.9182028699	0.5654101419	0.8836072642
1	scope	SF	MMseqs	0.9999073142	0.7743719595	0.8728053105	0.316576208	0.7891520177
1	scope	SF	Complet+	0.9994547803	0.8175851885	0.8994182175	0.6797304686	0.8403966122
1	scope	FA	MMseqs	0.9521839439	0.867970593	0.9081291129	0.4701756984	0.8202073885
1	scope	FA	Complet+	0.9391552881	0.9042771523	0.9213862693	0.549825921	0.8544085778
2	scope	SF	MMseqs	0.9998954493	0.761078764	0.8642933973	0.2623351145	0.7973412365
2	scope	SF	Complet+	0.9994552251	0.8170062623	0.8990679774	0.748978828	0.8558080288
2	scope	FA	MMseqs	0.9493068319	0.8518767115	0.8979566631	0.4005713889	0.8238030324
2	scope	FA	Complet+	0.9366335339	0.9026655585	0.9193358878	0.551706794	0.8685263053
3	scope	SF	MMseqs	0.9998800615	0.755874016	0.8609216602	0.246638634	0.8032910826
3	scope	SF	Complet+	0.9994383748	0.8158047481	0.8983331889	0.7508511981	0.8621383516
3	scope	FA	MMseqs	0.948792435	0.8460732581	0.8944935656	0.3810264249	0.8294868995
3	scope	FA	Complet+	0.9363224895	0.9015522674	0.9186084746	0.5531192188	0.8755742169
4	scope	SF	MMseqs	0.9998878166	0.7535435705	0.8594109139	0.2430974538	0.8083172147
4	scope	SF	Complet+	0.9994446551	0.8150397286	0.8978717125	0.752024384	0.8661314166
4	scope	FA	MMseqs	0.9485547326	0.8436177317	0.8930140462	0.3755450475	0.834774504
4	scope	FA	Complet+	0.9359484977	0.9007373938	0.9180054297	0.553395567	0.879848352
5	scope	SF	MMseqs	0.9998985132	0.7525010196	0.8587364201	0.2414524603	0.8124257396
5	scope	SF	Complet+	0.999472273	0.8147125424	0.8976842819	0.7520049206	0.869072707
5	scope	FA	MMseqs	0.9485961519	0.8426352514	0.8924816252	0.3726253717	0.839364827
5	scope	FA	Complet+	0.9359751457	0.9005442618	0.9179179302	0.552903213	0.8833171987
1	cog	na	MMseqs	0.9925085235	0.9494108668	0.9704814549	0.8640830736	0.9228637399
1	cog	na	Complet+	0.9628311016	0.982976045	0.972799293	0.7624104616	0.936272543
2	cog	na	MMseqs	0.9896548622	0.9354239948	0.9617755671	0.8277271125	0.9168809621
2	cog	na	Complet+	0.9608499849	0.9790295498	0.9698545825	0.7586812775	0.9411579781
3	cog	na	MMseqs	0.9893868494	0.9287962218	0.9581345821	0.8118116522	0.9173842797
3	cog	na	Complet+	0.9606446146	0.9774922516	0.9689952074	0.7587433381	0.9449671244
4	cog	na	MMseqs	0.9892995299	0.925588209	0.9563839816	0.8079186998	0.9190955439
4	cog	na	Complet+	0.9595554626	0.9766862779	0.9680450881	0.7516745316	0.9465720678
5	cog	na	MMseqs	0.989293573	0.9236316141	0.9553356564	0.807356367	0.9209309907
5	cog	na	Complet+	0.9599253661	0.9759183299	0.9678557851	0.7551008294	0.948509318
1	cog	na	MMseqs	0.9925578249	0.9507084854	0.9711825305	0.8697380401	0.925819378
1	cog	na	Complet+	0.9565237092	0.9836738134	0.9699087991	0.6944255966	0.9310110259
2	cog	na	MMseqs	0.989716237	0.9339362973	0.9610175448	0.8246365375	0.9158303075
2	cog	na	Complet+	0.9570506091	0.978634978	0.9677224524	0.7294789279	0.937795922
3	cog	na	MMseqs	0.9893003675	0.9269143394	0.9570918053	0.8072509167	0.9154236966
3	cog	na	Complet+	0.9573938587	0.9770258477	0.9671102329	0.7344746305	0.9419907282
4	cog	na	MMseqs	0.9893473228	0.9233884018	0.9552305961	0.8005397765	0.9168142182
4	cog	na	Complet+	0.9576955897	0.9761807803	0.9668498386	0.7369374665	0.9447052579
5	cog	na	MMseqs	0.989347573	0.9212607948	0.9540910076	0.7979650459	0.9184765491
5	cog	na	Complet+	0.9576860502	0.9756208183	0.9665702462	0.7365113915	0.9465363768
1	cog	na	MMseqs	0.9934273757	0.9496558566	0.9710485992	0.8712153566	0.9251340045
1	cog	na	Complet+	0.9629251599	0.9836497969	0.9731771537	0.7541939378	0.9378580384
2	cog	na	MMseqs	0.9908953498	0.9349190054	0.9620936643	0.8368427486	0.9182224751
2	cog	na	Complet+	0.9616504236	0.9791197707	0.9703064742	0.7531552679	0.9425153922
3	cog	na	MMseqs	0.9902768845	0.92812608	0.9581947275	0.8164833161	0.9174959274
3	cog	na	Complet+	0.9609640547	0.9770371207	0.9689339356	0.7476129387	0.9448821724
4	cog	na	MMseqs	0.9900939082	0.9247968658	0.9563320849	0.8104820083	0.9190761153
4	cog	na	Complet+	0.9602665619	0.9763830476	0.9682577453	0.7434593941	0.9469862765
5	cog	na	MMseqs	0.9899225736	0.9227205146	0.9551409483	0.8068262322	0.9204366019
5	cog	na	Complet+	0.9599569321	0.9757437767	0.9677859786	0.7415607745	0.9483600577
1	cog	na	MMseqs	0.9933024324	0.9495534426	0.9709353703	0.8712235987	0.9247526654
1	cog	na	Complet+	0.9593325993	0.9837865632	0.9714057059	0.7194874337	0.9340484622
2	cog	na	MMseqs	0.9906588784	0.9349384357	0.961992474	0.833987154	0.9180237096
2	cog	na	Complet+	0.9585451426	0.9793580309	0.9688398226	0.7187187397	0.9399083821
3	cog	na	MMseqs	0.9900740278	0.9287297727	0.9584213108	0.8154918445	0.9178608928
3	cog	na	Complet+	0.958442009	0.9775777341	0.9679153023	0.717530695	0.9431433749
4	cog	na	MMseqs	0.9899951946	0.9251708603	0.9564859439	0.8096937452	0.9195394883
4	cog	na	Complet+	0.9583938784	0.9772046309	0.9677078502	0.7191735037	0.9462844212
5	cog	na	MMseqs	0.9897968406	0.9231830901	0.955330154	0.806631978	0.9208252595
5	cog	na	Complet+	0.9584676973	0.9764838174	0.9673918843	0.7177564736	0.9478213124
1	cog	na	MMseqs	0.9933356684	0.9476298099	0.9699445984	0.8650336575	0.9216549028
1	cog	na	Complet+	0.9545365724	0.9834627052	0.9687837664	0.6647352915	0.9282479128
2	cog	na	MMseqs	0.9905925166	0.9341800327	0.9615595878	0.834520608	0.9162251162
2	cog	na	Complet+	0.9544929366	0.9797633854	0.9669630858	0.6767989121	0.9360814666
3	cog	na	MMseqs	0.9901538864	0.927160279	0.9576222511	0.8147815193	0.9158625885
3	cog	na	Complet+	0.9542166627	0.9780614891	0.9659919501	0.6782576246	0.9398976687
4	cog	na	MMseqs	0.9902792369	0.9242265148	0.9561134272	0.809268617	0.9185436318
4	cog	na	Complet+	0.9552846958	0.9772954247	0.9661647169	0.6944898775	0.9437914751
5	cog	na	MMseqs	0.9902394799	0.9219399737	0.9548699609	0.8063221713	0.9198368693
5	cog	na	Complet+	0.9550675002	0.976423001	0.9656271922	0.6940893635	0.9451714016
All	cog	na	MMseqs	0.9932984572	0.9338215713	0.9626421939	0.8624543672	0.9343813149
All	cog	na	Complet+	0.9406466015	0.9823047299	0.9610244323	0.6019050681	0.9390406944
All	scope	SF	MMseqs	0.9998804895	0.7713536094	0.8708746348	0.3677075512	0.8303071524
All	scope	SF	Complet+	0.9994240483	0.8175611378	0.8993912205	0.7297685009	0.8717141379
All	scope	FA	MMseqs	0.9489543466	0.8640877264	0.9045347773	0.4953591182	0.8595259921
All	scope	FA	Complet+	0.9358858822	0.9036503793	0.9194856879	0.5446282554	0.8860358079
